Experiment;Name;Weather;Soil;Year;Sowing;Harvest;Irrigation;Management;Fertilisation_org;Fertilisation_min;Residues;CO2;Crop;Cultivar;Lat;Long;Elevation
EX19;RapSmartN_MONICA02;weather2;soil1;2026;31.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX20;RapSmartN_MONICA02;weather2;soil1;2026;01.09.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX21;RapSmartN_MONICA02;weather2;soil1;2026;02.09.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX22;RapSmartN_MONICA02;weather2;soil1;2026;03.09.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX23;RapSmartN_MONICA02;weather2;soil1;2026;04.09.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX24;RapSmartN_MONICA02;weather2;soil1;2026;05.09.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX25;RapSmartN_MONICA02;weather2;soil1;2026;06.09.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX26;RapSmartN_MONICA02;weather2;soil1;2026;07.09.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX27;RapSmartN_MONICA02;weather2;soil1;2026;08.09.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX28;RapSmartN_MONICA02;weather2;soil1;2026;09.09.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX29;RapSmartN_MONICA02;weather2;soil1;2026;10.09.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX30;RapSmartN_MONICA02;weather2;soil1;2026;11.09.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX31;RapSmartN_MONICA02;weather2;soil1;2026;12.09.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX32;RapSmartN_MONICA02;weather2;soil1;2026;13.09.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX33;RapSmartN_MONICA02;weather2;soil1;2026;14.09.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX34;RapSmartN_MONICA02;weather2;soil1;2026;15.09.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX35;RapSmartN_MONICA02;weather2;soil1;2026;16.09.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX36;RapSmartN_MONICA02;weather2;soil1;2026;17.09.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX37;RapSmartN_MONICA03;weather2;soil1;2026;16.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX38;RapSmartN_MONICA03;weather2;soil1;2026;21.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX39;RapSmartN_MONICA03;weather2;soil1;2026;26.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX40;RapSmartN_MONICA03;weather2;soil1;2026;31.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX41;RapSmartN_MONICA03;weather2;soil1;2026;05.09.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX42;RapSmartN_MONICA03;weather2;soil2;2026;16.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX43;RapSmartN_MONICA03;weather2;soil2;2026;21.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX44;RapSmartN_MONICA03;weather2;soil2;2026;26.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX45;RapSmartN_MONICA03;weather2;soil2;2026;31.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX46;RapSmartN_MONICA03;weather2;soil2;2026;05.09.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX47;RapSmartN_MONICA03;weather2;soil3;2026;16.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX48;RapSmartN_MONICA03;weather2;soil3;2026;21.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX49;RapSmartN_MONICA03;weather2;soil3;2026;26.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX50;RapSmartN_MONICA03;weather2;soil3;2026;31.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX51;RapSmartN_MONICA03;weather2;soil3;2026;05.09.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX52;RapSmartN_MONICA03;weather2;soil4;2026;16.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX53;RapSmartN_MONICA03;weather2;soil4;2026;21.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX54;RapSmartN_MONICA03;weather2;soil4;2026;26.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX55;RapSmartN_MONICA03;weather2;soil4;2026;31.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX56;RapSmartN_MONICA03;weather2;soil4;2026;05.09.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX57;RapSmartN_MONICA03;weather2;soil5;2026;16.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX58;RapSmartN_MONICA03;weather2;soil5;2026;21.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX59;RapSmartN_MONICA03;weather2;soil5;2026;26.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX60;RapSmartN_MONICA03;weather2;soil5;2026;31.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX61;RapSmartN_MONICA03;weather2;soil5;2026;05.09.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
