Experiment;Name;Weather;Soil;Year;Sowing;Harvest;Irrigation;Management;Fertilisation_org;Fertilisation_min;Residues;CO2;Crop;Cultivar;Lat;Long;Elevation
EX1;RapSmartN_MONICA01;weather2;soil1;2023;19.08.2022;22.07.2023;no_irrig;manag1;no_fert;fert1;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX2;RapSmartN_MONICA01;weather2;soil1;2024;18.08.2023;15.07.2024;no_irrig;manag2;no_fert;fert2;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX3;RapSmartN_MONICA01;weather2;soil1;2025;10.09.2024;16.07.2025;no_irrig;manag3;no_fert;fert3;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX4;RapSmartN_MONICA01;weather2;soil1;2026;16.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX5;RapSmartN_MONICA02;weather2;soil1;2026;17.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX6;RapSmartN_MONICA02;weather2;soil1;2026;18.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX7;RapSmartN_MONICA02;weather2;soil1;2026;19.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX8;RapSmartN_MONICA02;weather2;soil1;2026;20.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX9;RapSmartN_MONICA02;weather2;soil1;2026;21.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX10;RapSmartN_MONICA02;weather2;soil1;2026;22.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX11;RapSmartN_MONICA02;weather2;soil1;2026;23.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX12;RapSmartN_MONICA02;weather2;soil1;2026;24.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX13;RapSmartN_MONICA02;weather2;soil1;2026;25.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX14;RapSmartN_MONICA02;weather2;soil1;2026;26.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX15;RapSmartN_MONICA02;weather2;soil1;2026;27.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX16;RapSmartN_MONICA02;weather2;soil1;2026;28.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX17;RapSmartN_MONICA02;weather2;soil1;2026;29.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
EX18;RapSmartN_MONICA02;weather2;soil1;2026;30.08.2025;12.01.2026;no_irrig;manag4;no_fert;fert4;no_resi;no_co2;WRa;Aurelia;52.467;12.959;40
