Soil;Depth;Sand;Silt;Clay;Corg;pH;Raw_density;Pore_volume;Field_capacity;nKF;Wilting_point;KA5TextureClass
soil1;30;0.6;0.26;0.14;1.744186044;;1.374;;;;;Sl4
soil1;40;0.6;0.26;0.14;0;;1.574;;;;;Sl4
soil1;70;0.34;0.45;0.21;0;;1.711;;;;;Ls2
soil1;100;0.44;0.35;0.21;0;;1.711;;;;;Ls3
soil1;200;0.6;0.26;0.14;0;;1.774;;;;;Sl4
soil2;30;0.8;0.18;0.02;0.872093022;;1.482;;;;;Su2
soil2;50;0.8;0.18;0.02;0.290697992;;1.682;;;;;Su2
soil2;70;0.8;0.18;0.02;0;;1.682;;;;;Su2
soil2;120;0.6;0.26;0.14;0;;1.682;;;;;Sl4
soil2;200;0.6;0.26;0.14;0;;1.682;;;;;Sl4
soil3;30;0.76;0.18;0.06;0.872093022;;1.446;;;;;Sl2
soil3;40;0.65;0.25;0.1;0.290697992;;1.61;;;;;Sl3
soil3;70;0.6;0.26;0.14;0;;1.574;;;;;Sl4
soil3;120;0.44;0.35;0.21;0;;1.511;;;;;Ls3
soil3;200;0.65;0.25;0.1;0;;1.61;;;;;Sl3
soil4;30;0.6;0.26;0.14;0.872093022;;1.374;;;;;Ld2
soil4;50;0.6;0.26;0.14;0.290697992;;1.574;;;;;Ld3
soil4;80;0.3;0.4;0.3;0;;1.63;;;;;Ld4
soil4;120;0.44;0.35;0.21;0;;1.711;;;;;Ld4
soil4;200;0.65;0.25;0.1;0;;1.511;;;;;Ld3
soil5;30;0.6;0.26;0.14;1.744186044;;1.374;;;;;Ld2
soil5;40;0.6;0.26;0.14;0;;1.574;;;;;Ld3
soil5;70;0.34;0.21;0.45;0;;1.711;;;;;Ld4
soil5;100;0.44;0.35;0.21;0;;1.711;;;;;Ld4
soil5;200;0.6;0.26;0.14;0;;1.774;;;;;Ld4
