Management;Date;Measure;Depth
manag1;29.07.2022;Scheiben;15
manag1;10.08.2022;Pfluegen;25
manag2;25.07.2023;Scheiben;15
manag2;12.08.2023;Pfluegen;25
manag3;26.07.2024;Scheiben;15
manag3;11.08.2024;Pfluegen;25
manag4;26.07.2025;Scheiben;15
manag4;11.08.2025;Pfluegen;25
